51 0 AP890908-0222    1 42.33588 BM25_long 
51 0 AP891010-0258    2 42.32045 BM25_long 
51 0 AP891126-0082    3 40.82550 BM25_long 
51 0 AP890518-0275    4 40.53450 BM25_long 
51 0 AP890216-0288    5 39.98953 BM25_long 
51 0 AP890608-0253    6 39.82267 BM25_long 
51 0 AP890503-0279    7 39.35212 BM25_long 
51 0 AP891214-0204    8 39.35158 BM25_long 
51 0 AP890216-0167    9 38.29906 BM25_long 
51 0 AP890629-0275   10 37.82280 BM25_long 
51 0 AP890329-0221   11 37.58099 BM25_long 
51 0 AP890404-0263   12 37.46384 BM25_long 
51 0 AP890328-0202   13 35.80524 BM25_long 
51 0 AP890708-0097   14 35.52385 BM25_long 
51 0 AP890731-0272   15 35.20885 BM25_long 
51 0 AP891221-0274   16 35.20717 BM25_long 
51 0 AP890127-0117   17 35.00019 BM25_long 
51 0 AP890914-0250   18 34.35107 BM25_long 
51 0 AP890418-0313   19 34.11320 BM25_long 
51 0 AP890419-0228   20 34.11320 BM25_long 
51 0 AP890724-0259   21 34.07022 BM25_long 
51 0 AP891101-0286   22 34.05513 BM25_long 
51 0 AP890410-0255   23 33.96775 BM25_long 
51 0 AP890104-0259   24 33.72393 BM25_long 
51 0 AP890412-0286   25 33.69660 BM25_long 
51 0 AP891011-0255   26 33.60330 BM25_long 
51 0 AP890816-0062   27 33.53092 BM25_long 
51 0 AP890817-0225   28 33.19176 BM25_long 
51 0 AP890606-0198   29 32.91479 BM25_long 
51 0 AP890426-0260   30 32.88138 BM25_long 
51 0 AP890821-0246   31 32.81564 BM25_long 
51 0 AP891117-0213   32 32.56916 BM25_long 
51 0 AP890418-0312   33 31.99075 BM25_long 
51 0 AP890106-0255   34 31.98829 BM25_long 
51 0 AP890928-0294   35 31.75679 BM25_long 
51 0 AP890817-0223   36 31.52817 BM25_long 
51 0 AP890509-0269   37 30.93110 BM25_long 
51 0 AP890620-0248   38 30.74129 BM25_long 
51 0 AP890206-0237   39 30.50550 BM25_long 
51 0 AP890612-0290   40 30.33393 BM25_long 
51 0 AP890223-0299   41 29.95414 BM25_long 
51 0 AP890413-0262   42 29.54104 BM25_long 
51 0 AP890705-0196   43 29.39706 BM25_long 
51 0 AP890520-0011   44 29.04040 BM25_long 
51 0 AP890913-0264   45 28.96218 BM25_long 
51 0 AP890127-0155   46 28.94086 BM25_long 
51 0 AP891117-0214   47 28.88721 BM25_long 
51 0 AP890906-0284   48 28.55070 BM25_long 
51 0 AP890418-0290   49 28.42683 BM25_long 
51 0 AP890208-0268   50 28.00778 BM25_long 
51 0 AP890427-0221   51 27.46606 BM25_long 
51 0 AP890702-0030   52 27.41105 BM25_long 
51 0 AP891127-0256   53 27.37474 BM25_long 
51 0 AP890301-0076   54 27.37006 BM25_long 
51 0 AP890207-0230   55 27.29548 BM25_long 
51 0 AP891211-0325   56 27.23886 BM25_long 
51 0 AP890419-0227   57 27.12145 BM25_long 
51 0 AP890209-0234   58 26.53865 BM25_long 
51 0 AP890627-0100   59 26.25503 BM25_long 
51 0 AP890228-0177   60 26.24881 BM25_long 
51 0 AP890110-0304   61 25.67948 BM25_long 
51 0 AP890222-0111   62 25.64907 BM25_long 
51 0 AP890207-0240   63 25.58073 BM25_long 
51 0 AP890105-0233   64 25.40553 BM25_long 
51 0 AP890504-0256   65 25.39103 BM25_long 
51 0 AP890227-0288   66 25.32024 BM25_long 
51 0 AP890310-0265   67 25.11670 BM25_long 
51 0 AP890816-0147   68 25.00942 BM25_long 
51 0 AP890207-0251   69 24.85943 BM25_long 
51 0 AP891017-0091   70 24.80208 BM25_long 
51 0 AP890217-0158   71 24.77207 BM25_long 
51 0 AP890407-0285   72 24.66317 BM25_long 
51 0 AP890803-0196   73 24.59987 BM25_long 
51 0 AP890310-0316   74 24.54050 BM25_long 
51 0 AP890703-0134   75 24.24988 BM25_long 
51 0 AP890207-0277   76 24.18443 BM25_long 
51 0 AP890427-0258   77 23.94475 BM25_long 
51 0 AP890117-0252   78 23.51578 BM25_long 
51 0 AP890519-0076   79 23.45494 BM25_long 
51 0 AP890618-0075   80 23.41982 BM25_long 
51 0 AP890427-0306   81 23.40765 BM25_long 
51 0 AP891006-0222   82 23.28760 BM25_long 
51 0 AP891123-0040   83 23.20936 BM25_long 
51 0 AP890314-0278   84 23.01876 BM25_long 
51 0 AP890707-0209   85 22.80089 BM25_long 
51 0 AP891101-0042   86 22.72316 BM25_long 
51 0 AP890901-0154   87 22.60292 BM25_long 
51 0 AP891219-0192   88 22.55145 BM25_long 
51 0 AP891126-0084   89 22.31883 BM25_long 
51 0 AP890228-0162   90 22.25406 BM25_long 
51 0 AP890601-0339   91 22.09503 BM25_long 
51 0 AP890703-0072   92 22.07334 BM25_long 
51 0 AP890117-0018   93 22.05409 BM25_long 
51 0 AP890906-0311   94 22.02935 BM25_long 
51 0 AP890418-0079   95 21.97862 BM25_long 
51 0 AP890518-0034   96 21.71328 BM25_long 
51 0 AP890330-0021   97 21.58346 BM25_long 
51 0 AP890428-0002   98 21.54018 BM25_long 
51 0 AP890719-0300   99 21.53265 BM25_long 
51 0 AP890419-0224  100 21.41524 BM25_long 
51 0 AP891128-0199  101 21.39455 BM25_long 
51 0 AP890816-0246  102 21.37948 BM25_long 
51 0 AP890425-0029  103 21.20600 BM25_long 
51 0 AP891013-0165  104 21.13744 BM25_long 
51 0 AP890411-0191  105 21.13303 BM25_long 
51 0 AP890707-0114  106 21.04380 BM25_long 
51 0 AP890527-0075  107 21.01014 BM25_long 
51 0 AP891214-0052  108 20.95014 BM25_long 
51 0 AP890723-0009  109 20.89237 BM25_long 
51 0 AP890712-0032  110 20.86941 BM25_long 
51 0 AP890413-0243  111 20.81289 BM25_long 
51 0 AP891118-0182  112 20.81252 BM25_long 
51 0 AP890602-0272  113 20.78005 BM25_long 
51 0 AP890206-0170  114 20.63953 BM25_long 
51 0 AP890512-0081  115 20.62179 BM25_long 
51 0 AP890714-0212  116 20.58345 BM25_long 
51 0 AP890224-0116  117 20.49150 BM25_long 
51 0 AP890630-0056  118 20.41427 BM25_long 
51 0 AP890125-0094  119 20.36195 BM25_long 
51 0 AP891120-0065  120 20.36195 BM25_long 
51 0 AP890219-0106  121 20.30893 BM25_long 
51 0 AP890408-0097  122 20.24970 BM25_long 
51 0 AP890511-0222  123 20.21814 BM25_long 
51 0 AP891117-0207  124 20.21592 BM25_long 
51 0 AP890329-0213  125 20.15511 BM25_long 
51 0 AP890614-0287  126 20.14627 BM25_long 
51 0 AP891215-0260  127 20.08854 BM25_long 
