51 0 AP890908-0222    1 17.06233 BM25_short 
51 0 AP890705-0196    2 12.72921 BM25_short 
51 0 AP890503-0279    3 11.90793 BM25_short 
51 0 AP891126-0082    4 11.90793 BM25_short 
51 0 AP890216-0288    5 11.61285 BM25_short 
51 0 AP890608-0253    6 11.61285 BM25_short 
51 0 AP890629-0275    7 11.61285 BM25_short 
51 0 AP890913-0264    8 11.61285 BM25_short 
51 0 AP891010-0258    9 11.58617 BM25_short 
51 0 AP890216-0167   10 11.43188 BM25_short 
51 0 AP891117-0213   11 11.37469 BM25_short 
51 0 AP891011-0255   12 11.16412 BM25_short 
51 0 AP890328-0202   13 11.10619 BM25_short 
51 0 AP891214-0204   14 11.07931 BM25_short 
51 0 AP890104-0259   15 11.00646 BM25_short 
51 0 AP890518-0275   16 10.89853 BM25_short 
51 0 AP891127-0256   17 10.70890 BM25_short 
51 0 AP890209-0234   18 10.66630 BM25_short 
51 0 AP890404-0263   19 10.66630 BM25_short 
51 0 AP890817-0225   20 10.55364 BM25_short 
51 0 AP890329-0221   21 10.53658 BM25_short 
51 0 AP890127-0117   22 10.52726 BM25_short 
51 0 AP890620-0248   23 10.20714 BM25_short 
51 0 AP890630-0056   24 10.20714 BM25_short 
51 0 AP890731-0272   25 10.20714 BM25_short 
51 0 AP890418-0313   26 10.19752 BM25_short 
51 0 AP890419-0228   27 10.19752 BM25_short 
51 0 AP890426-0260   28 10.19752 BM25_short 
51 0 AP890817-0223   29 10.19752 BM25_short 
51 0 AP891117-0214   30 10.14951 BM25_short 
51 0 AP891126-0084   31 9.97004 BM25_short 
51 0 AP891221-0274   32 9.97004 BM25_short 
51 0 AP890908-0122   33 9.69877 BM25_short 
51 0 AP890106-0255   34 9.68003 BM25_short 
51 0 AP890816-0062   35 9.68003 BM25_short 
51 0 AP891003-0130   36 9.68003 BM25_short 
51 0 AP890612-0290   37 9.44574 BM25_short 
51 0 AP891215-0260   38 9.15881 BM25_short 
51 0 AP890127-0155   39 9.13113 BM25_short 
51 0 AP890520-0011   40 9.13113 BM25_short 
51 0 AP890724-0259   41 9.03476 BM25_short 
