51 0 AP890518-0275    1 20.99845 LMwDS_long 
51 0 AP890908-0222    2 19.54847 LMwDS_long 
51 0 AP890329-0221    3 19.51681 LMwDS_long 
51 0 AP890104-0259    4 18.76808 LMwDS_long 
51 0 AP891214-0204    5 18.57797 LMwDS_long 
51 0 AP890216-0167    6 18.53225 LMwDS_long 
51 0 AP891101-0286    7 18.28874 LMwDS_long 
51 0 AP891011-0255    8 18.11633 LMwDS_long 
51 0 AP890216-0288    9 18.06413 LMwDS_long 
51 0 AP890608-0253   10 17.95835 LMwDS_long 
51 0 AP890127-0117   11 17.87456 LMwDS_long 
51 0 AP890705-0196   12 17.83512 LMwDS_long 
51 0 AP890328-0202   13 17.68755 LMwDS_long 
51 0 AP891126-0082   14 17.66363 LMwDS_long 
51 0 AP891010-0258   15 17.62214 LMwDS_long 
51 0 AP890503-0279   16 17.57526 LMwDS_long 
51 0 AP890418-0312   17 17.57475 LMwDS_long 
51 0 AP891117-0213   18 17.54654 LMwDS_long 
51 0 AP890629-0275   19 17.48163 LMwDS_long 
51 0 AP890207-0230   20 17.29592 LMwDS_long 
51 0 AP890418-0313   21 16.82282 LMwDS_long 
51 0 AP890419-0228   22 16.82282 LMwDS_long 
51 0 AP890914-0250   23 16.76912 LMwDS_long 
51 0 AP890412-0286   24 16.66462 LMwDS_long 
51 0 AP890404-0263   25 16.55510 LMwDS_long 
51 0 AP890419-0227   26 16.53549 LMwDS_long 
51 0 AP890127-0155   27 16.46682 LMwDS_long 
51 0 AP891221-0274   28 16.37730 LMwDS_long 
51 0 AP890708-0097   29 16.35934 LMwDS_long 
51 0 AP890413-0262   30 16.31420 LMwDS_long 
51 0 AP890426-0260   31 16.29185 LMwDS_long 
51 0 AP890817-0223   32 16.13345 LMwDS_long 
51 0 AP890606-0198   33 16.10147 LMwDS_long 
51 0 AP891117-0214   34 15.84450 LMwDS_long 
51 0 AP890418-0290   35 15.73307 LMwDS_long 
51 0 AP890509-0269   36 15.72807 LMwDS_long 
51 0 AP890410-0255   37 15.44559 LMwDS_long 
51 0 AP890612-0290   38 15.33432 LMwDS_long 
51 0 AP890207-0240   39 15.27636 LMwDS_long 
51 0 AP890731-0272   40 15.15682 LMwDS_long 
51 0 AP890207-0251   41 14.99608 LMwDS_long 
51 0 AP890427-0258   42 14.89114 LMwDS_long 
51 0 AP890117-0252   43 14.75054 LMwDS_long 
51 0 AP890217-0158   44 14.71166 LMwDS_long 
51 0 AP890816-0147   45 14.69086 LMwDS_long 
51 0 AP891006-0222   46 14.60403 LMwDS_long 
51 0 AP890206-0237   47 14.58978 LMwDS_long 
51 0 AP890110-0304   48 14.55804 LMwDS_long 
51 0 AP890106-0255   49 14.53222 LMwDS_long 
51 0 AP890223-0299   50 14.50653 LMwDS_long 
51 0 AP890803-0196   51 14.46246 LMwDS_long 
51 0 AP890208-0268   52 14.36741 LMwDS_long 
51 0 AP890602-0272   53 14.31572 LMwDS_long 
51 0 AP890227-0288   54 14.22931 LMwDS_long 
51 0 AP890301-0076   55 14.18929 LMwDS_long 
51 0 AP890228-0177   56 14.15353 LMwDS_long 
51 0 AP890928-0294   57 14.14050 LMwDS_long 
51 0 AP890617-0120   58 14.06351 LMwDS_long 
51 0 AP890105-0233   59 14.02707 LMwDS_long 
51 0 AP890906-0284   60 13.99588 LMwDS_long 
51 0 AP891118-0182   61 13.95822 LMwDS_long 
51 0 AP890817-0225   62 13.93503 LMwDS_long 
51 0 AP890821-0246   63 13.93148 LMwDS_long 
51 0 AP890511-0222   64 13.89715 LMwDS_long 
51 0 AP890724-0259   65 13.89084 LMwDS_long 
51 0 AP890419-0224   66 13.85805 LMwDS_long 
51 0 AP890519-0268   67 13.85686 LMwDS_long 
51 0 AP890520-0011   68 13.69892 LMwDS_long 
51 0 AP891207-0246   69 13.68866 LMwDS_long 
51 0 AP890504-0256   70 13.53505 LMwDS_long 
51 0 AP891101-0042   71 13.48180 LMwDS_long 
51 0 AP890413-0243   72 13.40224 LMwDS_long 
51 0 AP890722-0154   73 13.12563 LMwDS_long 
51 0 AP891017-0091   74 13.11693 LMwDS_long 
51 0 AP891011-0275   75 13.05726 LMwDS_long 
51 0 AP890207-0277   76 13.00408 LMwDS_long 
51 0 AP890411-0191   77 12.97499 LMwDS_long 
51 0 AP890322-0331   78 12.95148 LMwDS_long 
51 0 AP890329-0213   79 12.92029 LMwDS_long 
51 0 AP890526-0222   80 12.91868 LMwDS_long 
51 0 AP890323-0256   81 12.88310 LMwDS_long 
51 0 AP891013-0165   82 12.69107 LMwDS_long 
51 0 AP890816-0062   83 12.60443 LMwDS_long 
51 0 AP890702-0030   84 12.57708 LMwDS_long 
51 0 AP890818-0153   85 12.49391 LMwDS_long 
51 0 AP890913-0264   86 12.41552 LMwDS_long 
51 0 AP890818-0180   87 12.33076 LMwDS_long 
51 0 AP890703-0134   88 12.23761 LMwDS_long 
51 0 AP890107-0160   89 12.17949 LMwDS_long 
51 0 AP891211-0325   90 12.15708 LMwDS_long 
51 0 AP890310-0265   91 12.15627 LMwDS_long 
51 0 AP891127-0256   92 12.04018 LMwDS_long 
51 0 AP890620-0248   93 11.94379 LMwDS_long 
51 0 AP890427-0221   94 11.78914 LMwDS_long 
51 0 AP890627-0100   95 11.41447 LMwDS_long 
51 0 AP890209-0234   96 11.05563 LMwDS_long 
51 0 AP891117-0207   97 10.93437 LMwDS_long 
51 0 AP890427-0306   98 10.72897 LMwDS_long 
51 0 AP890228-0162   99 10.51319 LMwDS_long 
51 0 AP891128-0199  100 10.43207 LMwDS_long 
51 0 AP890703-0072  101 10.42593 LMwDS_long 
51 0 AP890407-0285  102 10.38877 LMwDS_long 
51 0 AP890720-0240  103 10.32087 LMwDS_long 
51 0 AP890816-0246  104 10.30686 LMwDS_long 
51 0 AP890901-0154  105 10.29257 LMwDS_long 
51 0 AP890519-0076  106 10.18821 LMwDS_long 
51 0 AP890219-0106  107 10.12321 LMwDS_long 
51 0 AP890719-0300  108 10.10107 LMwDS_long 
51 0 AP890810-0244  109 10.06689 LMwDS_long 
51 0 AP890906-0311  110 10.04969 LMwDS_long 
51 0 AP890621-0238  111 9.97237 LMwDS_long 
51 0 AP890201-0003  112 9.83382 LMwDS_long 
51 0 AP890517-0089  113 9.81316 LMwDS_long 
51 0 AP890112-0243  114 9.72643 LMwDS_long 
51 0 AP891123-0040  115 9.66291 LMwDS_long 
51 0 AP890719-0295  116 9.61607 LMwDS_long 
51 0 AP890131-0301  117 9.57596 LMwDS_long 
51 0 AP890310-0316  118 9.53477 LMwDS_long 
51 0 AP891126-0084  119 9.52612 LMwDS_long 
51 0 AP890222-0111  120 9.50024 LMwDS_long 
51 0 AP890715-0047  121 9.49537 LMwDS_long 
51 0 AP891002-0339  122 9.44247 LMwDS_long 
51 0 AP890614-0287  123 9.43851 LMwDS_long 
51 0 AP890112-0126  124 9.37272 LMwDS_long 
51 0 AP890518-0101  125 9.36502 LMwDS_long 
51 0 AP891002-0334  126 9.31220 LMwDS_long 
51 0 AP890929-0096  127 9.28219 LMwDS_long 
51 0 AP890117-0018  128 9.28195 LMwDS_long 
51 0 AP890527-0075  129 9.27917 LMwDS_long 
51 0 AP890723-0009  130 9.23677 LMwDS_long 
51 0 AP890707-0114  131 9.20621 LMwDS_long 
51 0 AP890408-0099  132 9.17153 LMwDS_long 
51 0 AP890618-0075  133 9.16837 LMwDS_long 
51 0 AP890823-0099  134 9.14556 LMwDS_long 
51 0 AP891219-0192  135 9.14408 LMwDS_long 
51 0 AP890428-0002  136 9.09778 LMwDS_long 
51 0 AP891129-0271  137 9.08896 LMwDS_long 
51 0 AP890623-0269  138 9.06186 LMwDS_long 
51 0 AP890816-0029  139 8.96702 LMwDS_long 
51 0 AP890418-0079  140 8.96201 LMwDS_long 
51 0 AP891215-0260  141 8.94198 LMwDS_long 
51 0 AP890406-0027  142 8.89720 LMwDS_long 
51 0 AP890125-0094  143 8.89179 LMwDS_long 
51 0 AP891120-0065  144 8.89179 LMwDS_long 
51 0 AP890712-0032  145 8.80916 LMwDS_long 
51 0 AP890608-0032  146 8.78631 LMwDS_long 
51 0 AP890406-0263  147 8.76666 LMwDS_long 
51 0 AP890723-0061  148 8.76666 LMwDS_long 
51 0 AP890811-0205  149 8.76462 LMwDS_long 
51 0 AP890823-0072  150 8.76462 LMwDS_long 
51 0 AP890330-0021  151 8.72802 LMwDS_long 
51 0 AP890714-0212  152 8.68923 LMwDS_long 
51 0 AP890804-0141  153 8.65811 LMwDS_long 
51 0 AP890224-0116  154 8.64327 LMwDS_long 
51 0 AP890630-0056  155 8.64173 LMwDS_long 
51 0 AP890314-0278  156 8.61818 LMwDS_long 
51 0 AP891214-0052  157 8.59740 LMwDS_long 
51 0 AP891003-0130  158 8.59492 LMwDS_long 
51 0 AP890928-0100  159 8.56176 LMwDS_long 
51 0 AP890111-0078  160 8.51863 LMwDS_long 
51 0 AP890123-0201  161 8.51324 LMwDS_long 
51 0 AP890601-0339  162 8.47419 LMwDS_long 
51 0 AP890206-0170  163 8.47337 LMwDS_long 
51 0 AP890707-0209  164 8.45779 LMwDS_long 
51 0 AP890507-0009  165 8.45200 LMwDS_long 
51 0 AP891027-0233  166 8.41730 LMwDS_long 
51 0 AP890306-0253  167 8.38627 LMwDS_long 
51 0 AP890418-0241  168 8.36082 LMwDS_long 
51 0 AP890427-0238  169 8.34608 LMwDS_long 
51 0 AP891120-0014  170 8.29962 LMwDS_long 
51 0 AP890111-0217  171 8.27939 LMwDS_long 
51 0 AP890406-0194  172 8.27302 LMwDS_long 
51 0 AP890521-0093  173 8.25420 LMwDS_long 
51 0 AP891222-0290  174 8.24583 LMwDS_long 
51 0 AP890609-0270  175 8.23569 LMwDS_long 
51 0 AP890613-0247  176 8.23569 LMwDS_long 
51 0 AP891209-0045  177 8.23569 LMwDS_long 
51 0 AP890428-0198  178 8.21411 LMwDS_long 
51 0 AP890425-0251  179 8.20633 LMwDS_long 
51 0 AP890716-0011  180 8.13429 LMwDS_long 
51 0 AP891103-0231  181 8.13325 LMwDS_long 
51 0 AP890714-0215  182 8.06178 LMwDS_long 
51 0 AP890519-0140  183 7.97936 LMwDS_long 
51 0 AP890519-0245  184 7.94817 LMwDS_long 
51 0 AP890311-0051  185 7.94317 LMwDS_long 
51 0 AP891208-0227  186 7.91201 LMwDS_long 
51 0 AP890305-0051  187 7.90619 LMwDS_long 
51 0 AP890817-0220  188 7.86895 LMwDS_long 
51 0 AP890211-0169  189 7.86630 LMwDS_long 
51 0 AP890619-0204  190 7.85122 LMwDS_long 
51 0 AP890306-0244  191 7.80009 LMwDS_long 
51 0 AP890407-0321  192 7.74673 LMwDS_long 
51 0 AP890516-0077  193 7.73001 LMwDS_long 
51 0 AP890512-0081  194 7.72140 LMwDS_long 
51 0 AP890306-0264  195 7.69765 LMwDS_long 
51 0 AP891026-0232  196 7.67982 LMwDS_long 
51 0 AP891116-0209  197 7.67966 LMwDS_long 
51 0 AP890407-0012  198 7.65712 LMwDS_long 
51 0 AP890628-0005  199 7.61296 LMwDS_long 
51 0 AP890426-0087  200 7.57316 LMwDS_long 
51 0 AP890323-0197  201 7.55724 LMwDS_long 
51 0 AP890518-0034  202 7.54863 LMwDS_long 
51 0 AP891002-0137  203 7.54636 LMwDS_long 
51 0 AP890301-0257  204 7.53594 LMwDS_long 
51 0 AP890911-0278  205 7.50508 LMwDS_long 
51 0 AP890628-0029  206 7.45671 LMwDS_long 
51 0 AP890511-0035  207 7.43291 LMwDS_long 
51 0 AP891004-0231  208 7.41670 LMwDS_long 
