51 0 AP890908-0222    1 8.04724 LMwDS_short 
51 0 AP890705-0196    2 7.28210 LMwDS_short 
51 0 AP890518-0275    3 6.35700 LMwDS_short 
51 0 AP890127-0117    4 5.81003 LMwDS_short 
51 0 AP890127-0155    5 5.70917 LMwDS_short 
51 0 AP890520-0011    6 5.70917 LMwDS_short 
51 0 AP890104-0259    7 5.69209 LMwDS_short 
51 0 AP891117-0213    8 5.66542 LMwDS_short 
51 0 AP891011-0255    9 5.54799 LMwDS_short 
51 0 AP890329-0221   10 5.46958 LMwDS_short 
51 0 AP890216-0167   11 5.34594 LMwDS_short 
51 0 AP891214-0204   12 5.31180 LMwDS_short 
51 0 AP890526-0222   13 5.29235 LMwDS_short 
51 0 AP890503-0279   14 5.22958 LMwDS_short 
51 0 AP891126-0082   15 5.22958 LMwDS_short 
51 0 AP890216-0288   16 5.20618 LMwDS_short 
51 0 AP890608-0253   17 5.20618 LMwDS_short 
51 0 AP890629-0275   18 5.20618 LMwDS_short 
51 0 AP890913-0264   19 5.20618 LMwDS_short 
51 0 AP890328-0202   20 5.16447 LMwDS_short 
51 0 AP891127-0256   21 5.13032 LMwDS_short 
51 0 AP891117-0214   22 5.07989 LMwDS_short 
51 0 AP890207-0230   23 5.05296 LMwDS_short 
51 0 AP891010-0258   24 5.00771 LMwDS_short 
51 0 AP890418-0313   25 4.90844 LMwDS_short 
51 0 AP890419-0228   26 4.90844 LMwDS_short 
51 0 AP890426-0260   27 4.90844 LMwDS_short 
51 0 AP890817-0223   28 4.90844 LMwDS_short 
51 0 AP890209-0234   29 4.69872 LMwDS_short 
51 0 AP890404-0263   30 4.69872 LMwDS_short 
51 0 AP891126-0084   31 4.65702 LMwDS_short 
51 0 AP891221-0274   32 4.65702 LMwDS_short 
51 0 AP890612-0290   33 4.62287 LMwDS_short 
51 0 AP890901-0154   34 4.57244 LMwDS_short 
51 0 AP890418-0312   35 4.49403 LMwDS_short 
51 0 AP891101-0286   36 4.49403 LMwDS_short 
51 0 AP890817-0225   37 4.33525 LMwDS_short 
51 0 AP890620-0248   38 4.32087 LMwDS_short 
51 0 AP890630-0056   39 4.32087 LMwDS_short 
51 0 AP890731-0272   40 4.32087 LMwDS_short 
51 0 AP891215-0260   41 4.30198 LMwDS_short 
51 0 AP890106-0255   42 4.29746 LMwDS_short 
51 0 AP890816-0062   43 4.29746 LMwDS_short 
51 0 AP891003-0130   44 4.29746 LMwDS_short 
51 0 AP890410-0255   45 4.25575 LMwDS_short 
51 0 AP890412-0286   46 4.25575 LMwDS_short 
51 0 AP890427-0306   47 4.25575 LMwDS_short 
51 0 AP890606-0198   48 4.25575 LMwDS_short 
51 0 AP890708-0097   49 4.25575 LMwDS_short 
51 0 AP890906-0284   50 4.25575 LMwDS_short 
51 0 AP890816-0187   51 4.25544 LMwDS_short 
51 0 AP891003-0103   52 4.22973 LMwDS_short 
51 0 AP890519-0076   53 4.22160 LMwDS_short 
51 0 AP890702-0030   54 4.22160 LMwDS_short 
51 0 AP890914-0250   55 4.22160 LMwDS_short 
51 0 AP890108-0032   56 4.21740 LMwDS_short 
51 0 AP890310-0316   57 4.21740 LMwDS_short 
51 0 AP890729-0071   58 4.21740 LMwDS_short 
51 0 AP890105-0233   59 4.17117 LMwDS_short 
51 0 AP890110-0304   60 4.17117 LMwDS_short 
51 0 AP890413-0262   61 4.17117 LMwDS_short 
51 0 AP890418-0290   62 4.17117 LMwDS_short 
51 0 AP890703-0072   63 4.17117 LMwDS_short 
51 0 AP890703-0134   64 4.17117 LMwDS_short 
51 0 AP890823-0099   65 4.17117 LMwDS_short 
51 0 AP890506-0013   66 4.13601 LMwDS_short 
51 0 AP890217-0158   67 4.09276 LMwDS_short 
51 0 AP890419-0227   68 4.09276 LMwDS_short 
51 0 AP890517-0089   69 4.09276 LMwDS_short 
51 0 AP890929-0096   70 4.09276 LMwDS_short 
51 0 AP891006-0222   71 4.09276 LMwDS_short 
51 0 AP890410-0121   72 4.08558 LMwDS_short 
51 0 AP891011-0163   73 4.08558 LMwDS_short 
51 0 AP890721-0245   74 4.01829 LMwDS_short 
51 0 AP890411-0010   75 4.00717 LMwDS_short 
51 0 AP890612-0011   76 4.00717 LMwDS_short 
51 0 AP890628-0005   77 4.00717 LMwDS_short 
51 0 AP891002-0199   78 4.00717 LMwDS_short 
51 0 AP890503-0044   79 3.93371 LMwDS_short 
51 0 AP890607-0014   80 3.93371 LMwDS_short 
51 0 AP891130-0010   81 3.93371 LMwDS_short 
51 0 AP891208-0192   82 3.93371 LMwDS_short 
51 0 AP890918-0116   83 3.85530 LMwDS_short 
51 0 AP891024-0145   84 3.85530 LMwDS_short 
51 0 AP891128-0218   85 3.85530 LMwDS_short 
51 0 AP891129-0025   86 3.85530 LMwDS_short 
51 0 AP891218-0055   87 3.85530 LMwDS_short 
51 0 AP891219-0249   88 3.83915 LMwDS_short 
51 0 AP890428-0090   89 3.80500 LMwDS_short 
51 0 AP890707-0209   90 3.80500 LMwDS_short 
51 0 AP890412-0226   91 3.75457 LMwDS_short 
51 0 AP890801-0228   92 3.75457 LMwDS_short 
51 0 AP890908-0034   93 3.75457 LMwDS_short 
51 0 AP891007-0018   94 3.75457 LMwDS_short 
51 0 AP891019-0216   95 3.75457 LMwDS_short 
51 0 AP890908-0122   96 3.68142 LMwDS_short 
51 0 AP890811-0028   97 3.67616 LMwDS_short 
51 0 AP891027-0233   98 3.67616 LMwDS_short 
51 0 AP890724-0259   99 3.66404 LMwDS_short 
51 0 AP890601-0339  100 3.65460 LMwDS_short 
51 0 AP890920-0246  101 3.65460 LMwDS_short 
51 0 AP891211-0325  102 3.65460 LMwDS_short 
51 0 AP890222-0111  103 3.64021 LMwDS_short 
51 0 AP890418-0079  104 3.64021 LMwDS_short 
51 0 AP890618-0075  105 3.64021 LMwDS_short 
51 0 AP890622-0084  106 3.64021 LMwDS_short 
51 0 AP890821-0246  107 3.64021 LMwDS_short 
51 0 AP890928-0294  108 3.64021 LMwDS_short 
51 0 AP890523-0235  109 3.62076 LMwDS_short 
51 0 AP891221-0216  110 3.62076 LMwDS_short 
51 0 AP890117-0018  111 3.61681 LMwDS_short 
51 0 AP890125-0094  112 3.61681 LMwDS_short 
51 0 AP890206-0170  113 3.61681 LMwDS_short 
51 0 AP890223-0299  114 3.61681 LMwDS_short 
