51 0 AP890518-0275    1 29.14379 LMwJMS_long 
51 0 AP891010-0258    2 27.01973 LMwJMS_long 
51 0 AP890908-0222    3 26.44302 LMwJMS_long 
51 0 AP890216-0288    4 25.93412 LMwJMS_long 
51 0 AP891126-0082    5 25.78460 LMwJMS_long 
51 0 AP890503-0279    6 25.77122 LMwJMS_long 
51 0 AP890608-0253    7 25.70391 LMwJMS_long 
51 0 AP890127-0117    8 25.55387 LMwJMS_long 
51 0 AP890216-0167    9 24.53755 LMwJMS_long 
51 0 AP890629-0275   10 24.31981 LMwJMS_long 
51 0 AP890724-0259   11 24.16440 LMwJMS_long 
51 0 AP891214-0204   12 23.76254 LMwJMS_long 
51 0 AP890708-0097   13 23.53402 LMwJMS_long 
51 0 AP890404-0263   14 23.31855 LMwJMS_long 
51 0 AP890731-0272   15 23.26140 LMwJMS_long 
51 0 AP890914-0250   16 23.22797 LMwJMS_long 
51 0 AP890328-0202   17 22.94287 LMwJMS_long 
51 0 AP890412-0286   18 22.85231 LMwJMS_long 
51 0 AP890821-0246   19 22.82944 LMwJMS_long 
51 0 AP890509-0269   20 22.74313 LMwJMS_long 
51 0 AP890817-0225   21 22.53329 LMwJMS_long 
51 0 AP890329-0221   22 22.41240 LMwJMS_long 
51 0 AP890410-0255   23 22.36439 LMwJMS_long 
51 0 AP891221-0274   24 22.31001 LMwJMS_long 
51 0 AP890928-0294   25 22.27471 LMwJMS_long 
51 0 AP891101-0286   26 22.18667 LMwJMS_long 
51 0 AP890606-0198   27 21.99519 LMwJMS_long 
51 0 AP890127-0155   28 21.94562 LMwJMS_long 
51 0 AP890206-0237   29 21.71720 LMwJMS_long 
51 0 AP891011-0255   30 21.42453 LMwJMS_long 
51 0 AP890816-0062   31 21.37733 LMwJMS_long 
51 0 AP890104-0259   32 21.35501 LMwJMS_long 
51 0 AP890223-0299   33 21.32784 LMwJMS_long 
51 0 AP890106-0255   34 21.16216 LMwJMS_long 
51 0 AP890418-0313   35 21.08302 LMwJMS_long 
51 0 AP890419-0228   36 21.08302 LMwJMS_long 
51 0 AP890705-0196   37 20.94633 LMwJMS_long 
51 0 AP890418-0312   38 20.88445 LMwJMS_long 
51 0 AP891117-0213   39 20.80652 LMwJMS_long 
51 0 AP890620-0248   40 20.64643 LMwJMS_long 
51 0 AP890413-0262   41 20.55337 LMwJMS_long 
51 0 AP890426-0260   42 20.46400 LMwJMS_long 
51 0 AP890817-0223   43 20.39135 LMwJMS_long 
51 0 AP890208-0268   44 20.22135 LMwJMS_long 
51 0 AP890520-0011   45 20.12593 LMwJMS_long 
51 0 AP890612-0290   46 20.10988 LMwJMS_long 
51 0 AP890301-0076   47 19.92364 LMwJMS_long 
51 0 AP890418-0290   48 19.76722 LMwJMS_long 
51 0 AP890207-0240   49 19.61427 LMwJMS_long 
51 0 AP890228-0177   50 19.49348 LMwJMS_long 
51 0 AP890906-0284   51 19.47650 LMwJMS_long 
51 0 AP891211-0325   52 19.21074 LMwJMS_long 
