51 0 AP890908-0222    1 10.20738 LMwJMS_short 
51 0 AP890705-0196    2 8.37286 LMwJMS_short 
51 0 AP890518-0275    3 7.99948 LMwJMS_short 
51 0 AP890127-0117    4 7.93113 LMwJMS_short 
51 0 AP890127-0155    5 7.33118 LMwJMS_short 
51 0 AP890520-0011    6 7.33118 LMwJMS_short 
51 0 AP890503-0279    7 7.29987 LMwJMS_short 
51 0 AP891126-0082    8 7.29987 LMwJMS_short 
51 0 AP890908-0122    9 7.07689 LMwJMS_short 
51 0 AP891010-0258   10 7.07689 LMwJMS_short 
51 0 AP890216-0288   11 6.93552 LMwJMS_short 
51 0 AP890608-0253   12 6.93552 LMwJMS_short 
51 0 AP890629-0275   13 6.93552 LMwJMS_short 
51 0 AP890913-0264   14 6.93552 LMwJMS_short 
51 0 AP890817-0225   15 6.69244 LMwJMS_short 
51 0 AP890216-0167   16 6.67185 LMwJMS_short 
51 0 AP891117-0213   17 6.50218 LMwJMS_short 
51 0 AP890328-0202   18 6.48978 LMwJMS_short 
51 0 AP890209-0234   19 6.42534 LMwJMS_short 
51 0 AP890404-0263   20 6.42534 LMwJMS_short 
51 0 AP891214-0204   21 6.40517 LMwJMS_short 
51 0 AP890620-0248   22 6.38459 LMwJMS_short 
51 0 AP890630-0056   23 6.38459 LMwJMS_short 
51 0 AP890731-0272   24 6.38459 LMwJMS_short 
51 0 AP891011-0255   25 6.38459 LMwJMS_short 
51 0 AP890724-0259   26 6.26702 LMwJMS_short 
51 0 AP890104-0259   27 6.24335 LMwJMS_short 
51 0 AP891127-0256   28 6.22318 LMwJMS_short 
51 0 AP890106-0255   29 6.02069 LMwJMS_short 
51 0 AP890329-0221   30 6.02069 LMwJMS_short 
51 0 AP890816-0062   31 6.02069 LMwJMS_short 
51 0 AP891003-0130   32 6.02069 LMwJMS_short 
51 0 AP890418-0313   33 6.00054 LMwJMS_short 
51 0 AP890419-0228   34 6.00054 LMwJMS_short 
51 0 AP890426-0260   35 6.00054 LMwJMS_short 
51 0 AP890601-0339   36 6.00054 LMwJMS_short 
51 0 AP890817-0223   37 6.00054 LMwJMS_short 
51 0 AP890920-0246   38 6.00054 LMwJMS_short 
51 0 AP891211-0325   39 6.00054 LMwJMS_short 
51 0 AP891126-0084   40 5.97997 LMwJMS_short 
51 0 AP891221-0274   41 5.97997 LMwJMS_short 
51 0 AP891117-0214   42 5.91560 LMwJMS_short 
51 0 AP890526-0222   43 5.78540 LMwJMS_short 
51 0 AP890612-0290   44 5.71368 LMwJMS_short 
51 0 AP890222-0111   45 5.69313 LMwJMS_short 
51 0 AP890418-0079   46 5.69313 LMwJMS_short 
51 0 AP890618-0075   47 5.69313 LMwJMS_short 
51 0 AP890622-0084   48 5.69313 LMwJMS_short 
51 0 AP890821-0246   49 5.69313 LMwJMS_short 
51 0 AP890928-0294   50 5.69313 LMwJMS_short 
51 0 AP891215-0260   51 5.62239 LMwJMS_short 
51 0 AP890410-0255   52 5.57577 LMwJMS_short 
51 0 AP890412-0286   53 5.57577 LMwJMS_short 
51 0 AP890427-0306   54 5.57577 LMwJMS_short 
51 0 AP890606-0198   55 5.57577 LMwJMS_short 
51 0 AP890708-0097   56 5.57577 LMwJMS_short 
51 0 AP890906-0284   57 5.57577 LMwJMS_short 
51 0 AP890901-0154   58 5.40657 LMwJMS_short 
51 0 AP890721-0245   59 5.33592 LMwJMS_short 
51 0 AP890117-0018   60 5.32997 LMwJMS_short 
51 0 AP890125-0094   61 5.32997 LMwJMS_short 
51 0 AP890206-0170   62 5.32997 LMwJMS_short 
51 0 AP890223-0299   63 5.32997 LMwJMS_short 
51 0 AP890310-0265   64 5.32997 LMwJMS_short 
51 0 AP890327-0161   65 5.32997 LMwJMS_short 
51 0 AP890418-0241   66 5.32997 LMwJMS_short 
51 0 AP890701-0050   67 5.32997 LMwJMS_short 
51 0 AP890723-0009   68 5.32997 LMwJMS_short 
51 0 AP890911-0278   69 5.32997 LMwJMS_short 
51 0 AP891120-0065   70 5.32997 LMwJMS_short 
51 0 AP890519-0076   71 5.30986 LMwJMS_short 
51 0 AP890702-0030   72 5.30986 LMwJMS_short 
51 0 AP890914-0250   73 5.30986 LMwJMS_short 
51 0 AP890207-0230   74 5.28935 LMwJMS_short 
51 0 AP890506-0013   75 5.22358 LMwJMS_short 
51 0 AP891219-0249   76 5.15456 LMwJMS_short 
51 0 AP890712-0120   77 5.09040 LMwJMS_short 
