51 0 AP891126-0082    1 0.44663 TREC_long 
52 0 AP890503-0279    2 0.44411 TREC_long 
53 0 AP891010-0258    3 0.40722 TREC_long 
54 0 AP890608-0253    4 0.34545 TREC_long 
55 0 AP890216-0288    5 0.33835 TREC_long 
56 0 AP891215-0260    6 0.31404 TREC_long 
57 0 AP890629-0275    7 0.30841 TREC_long 
58 0 AP890724-0259    8 0.30568 TREC_long 
59 0 AP890620-0248    9 0.28541 TREC_long 
60 0 AP890216-0167   10 0.26609 TREC_long 
61 0 AP890222-0238   11 0.26001 TREC_long 
62 0 AP890817-0225   12 0.24733 TREC_long 
63 0 AP890913-0264   13 0.24631 TREC_long 
64 0 AP890404-0263   14 0.23577 TREC_long 
65 0 AP890207-0122   15 0.22885 TREC_long 
66 0 AP890731-0272   16 0.22550 TREC_long 
67 0 AP890328-0202   17 0.22313 TREC_long 
68 0 AP890721-0245   18 0.21602 TREC_long 
69 0 AP890908-0122   19 0.21423 TREC_long 
70 0 AP891020-0203   20 0.20815 TREC_long 
71 0 AP891214-0204   21 0.20720 TREC_long 
72 0 AP890712-0120   22 0.20245 TREC_long 
73 0 AP890928-0294   23 0.20091 TREC_long 
74 0 AP890503-0307   24 0.18583 TREC_long 
75 0 AP890221-0180   25 0.18551 TREC_long 
76 0 AP890906-0266   26 0.18524 TREC_long 
77 0 AP891214-0236   27 0.18495 TREC_long 
78 0 AP890821-0246   28 0.18413 TREC_long 
79 0 AP891213-0166   29 0.18146 TREC_long 
80 0 AP891004-0262   30 0.18131 TREC_long 
81 0 AP890328-0148   31 0.18004 TREC_long 
82 0 AP890223-0299   32 0.17976 TREC_long 
83 0 AP891219-0249   33 0.17917 TREC_long 
84 0 AP890519-0240   34 0.17870 TREC_long 
85 0 AP890908-0222   35 0.17783 TREC_long 
86 0 AP890412-0286   36 0.17717 TREC_long 
87 0 AP891219-0192   37 0.17713 TREC_long 
88 0 AP891007-0006   38 0.17162 TREC_long 
89 0 AP891026-0232   39 0.17092 TREC_long 
90 0 AP890525-0216   40 0.17059 TREC_long 
91 0 AP890920-0100   41 0.16804 TREC_long 
92 0 AP890831-0240   42 0.16735 TREC_long 
93 0 AP890208-0175   43 0.16506 TREC_long 
94 0 AP890310-0310   44 0.16311 TREC_long 
95 0 AP890606-0198   45 0.16255 TREC_long 
96 0 AP890604-0055   46 0.16181 TREC_long 
97 0 AP890310-0316   47 0.16165 TREC_long 
98 0 AP891227-0014   48 0.16125 TREC_long 
99 0 AP890516-0165   49 0.16009 TREC_long 
100 0 AP890816-0062   50 0.15900 TREC_long 
101 0 AP891116-0209   51 0.15879 TREC_long 
102 0 AP891011-0255   52 0.15844 TREC_long 
103 0 AP890407-0285   53 0.15836 TREC_long 
104 0 AP890816-0024   54 0.15823 TREC_long 
105 0 AP890813-0090   55 0.15704 TREC_long 
106 0 AP890814-0205   56 0.15704 TREC_long 
107 0 AP890926-0268   57 0.15704 TREC_long 
108 0 AP890329-0221   58 0.15704 TREC_long 
109 0 AP890310-0128   59 0.15541 TREC_long 
110 0 AP891211-0325   60 0.15518 TREC_long 
111 0 AP890506-0013   61 0.15457 TREC_long 
112 0 AP890705-0014   62 0.15449 TREC_long 
113 0 AP890707-0209   63 0.15322 TREC_long 
114 0 AP891221-0216   64 0.15222 TREC_long 
115 0 AP890209-0234   65 0.15181 TREC_long 
116 0 AP890518-0275   66 0.15121 TREC_long 
117 0 AP891221-0274   67 0.15089 TREC_long 
118 0 AP890608-0245   68 0.15055 TREC_long 
119 0 AP891117-0213   69 0.15010 TREC_long 
120 0 AP890518-0262   70 0.15006 TREC_long 
121 0 AP890118-0041   71 0.14930 TREC_long 
122 0 AP890708-0097   72 0.14825 TREC_long 
123 0 AP890314-0247   73 0.14818 TREC_long 
124 0 AP890314-0278   74 0.14573 TREC_long 
125 0 AP890515-0108   75 0.14514 TREC_long 
126 0 AP890104-0259   76 0.14503 TREC_long 
127 0 AP890523-0018   77 0.14400 TREC_long 
128 0 AP890428-0090   78 0.14364 TREC_long 
129 0 AP890501-0072   79 0.14269 TREC_long 
130 0 AP891205-0002   80 0.13983 TREC_long 
131 0 AP890712-0032   81 0.13944 TREC_long 
132 0 AP890519-0245   82 0.13937 TREC_long 
133 0 AP891123-0040   83 0.13872 TREC_long 
134 0 AP890605-0084   84 0.13822 TREC_long 
135 0 AP890316-0252   85 0.13814 TREC_long 
136 0 AP890307-0148   86 0.13814 TREC_long 
137 0 AP890222-0111   87 0.13782 TREC_long 
138 0 AP890621-0233   88 0.13772 TREC_long 
139 0 AP890106-0255   89 0.13648 TREC_long 
140 0 AP890211-0061   90 0.13637 TREC_long 
141 0 AP890201-0131   91 0.13608 TREC_long 
142 0 AP890719-0135   92 0.13553 TREC_long 
143 0 AP890510-0260   93 0.13549 TREC_long 
144 0 AP891220-0038   94 0.13538 TREC_long 
145 0 AP890202-0114   95 0.13487 TREC_long 
146 0 AP890406-0194   96 0.13411 TREC_long 
147 0 AP890505-0138   97 0.13393 TREC_long 
148 0 AP890609-0258   98 0.13383 TREC_long 
149 0 AP890605-0071   99 0.13380 TREC_long 
150 0 AP890418-0313  100 0.13375 TREC_long 
151 0 AP890419-0228  101 0.13375 TREC_long 
152 0 AP890718-0268  102 0.13365 TREC_long 
153 0 AP890525-0247  103 0.13357 TREC_long 
