51 0 AP890503-0279    1 0.26778 TREC_short 
52 0 AP891126-0082    2 0.26778 TREC_short 
53 0 AP891010-0258    3 0.21423 TREC_short 
54 0 AP890908-0122    4 0.21423 TREC_short 
55 0 AP890608-0253    5 0.18596 TREC_short 
56 0 AP890629-0275    6 0.18596 TREC_short 
57 0 AP890216-0288    7 0.18596 TREC_short 
58 0 AP890913-0264    8 0.18596 TREC_short 
59 0 AP891215-0260    9 0.14689 TREC_short 
60 0 AP890817-0225   10 0.14579 TREC_short 
61 0 AP890216-0167   11 0.14282 TREC_short 
62 0 AP891117-0213   12 0.12050 TREC_short 
63 0 AP890908-0222   13 0.11924 TREC_short 
64 0 AP890328-0202   14 0.11902 TREC_short 
65 0 AP890209-0234   15 0.11158 TREC_short 
66 0 AP890404-0263   16 0.11158 TREC_short 
67 0 AP890721-0245   17 0.11017 TREC_short 
68 0 AP891214-0204   18 0.10935 TREC_short 
69 0 AP891011-0255   19 0.10711 TREC_short 
70 0 AP890620-0248   20 0.10711 TREC_short 
71 0 AP890630-0056   21 0.10711 TREC_short 
72 0 AP890731-0272   22 0.10711 TREC_short 
73 0 AP890506-0013   23 0.09840 TREC_short 
74 0 AP890724-0259   24 0.09521 TREC_short 
75 0 AP890104-0259   25 0.09298 TREC_short 
76 0 AP891219-0249   26 0.09181 TREC_short 
77 0 AP891127-0256   27 0.09112 TREC_short 
78 0 AP890712-0120   28 0.08607 TREC_short 
79 0 AP890310-0316   29 0.08263 TREC_short 
80 0 AP890108-0032   30 0.08263 TREC_short 
81 0 AP890729-0071   31 0.08263 TREC_short 
82 0 AP890329-0221   32 0.07438 TREC_short 
83 0 AP890106-0255   33 0.07438 TREC_short 
84 0 AP890816-0062   34 0.07438 TREC_short 
85 0 AP891003-0130   35 0.07438 TREC_short 
86 0 AP890523-0235   36 0.07345 TREC_short 
87 0 AP891221-0216   37 0.07345 TREC_short 
88 0 AP890516-0165   38 0.07345 TREC_short 
89 0 AP890601-0339   39 0.07290 TREC_short 
90 0 AP891211-0325   40 0.07290 TREC_short 
91 0 AP890419-0228   41 0.07290 TREC_short 
92 0 AP890426-0260   42 0.07290 TREC_short 
93 0 AP890817-0223   43 0.07290 TREC_short 
94 0 AP890418-0313   44 0.07290 TREC_short 
95 0 AP890920-0246   45 0.07290 TREC_short 
96 0 AP891011-0163   46 0.07230 TREC_short 
97 0 AP890410-0121   47 0.07230 TREC_short 
98 0 AP891126-0084   48 0.07141 TREC_short 
99 0 AP891221-0274   49 0.07141 TREC_short 
100 0 AP890707-0209   50 0.07029 TREC_short 
101 0 AP890428-0090   51 0.07029 TREC_short 
102 0 AP891117-0214   52 0.06695 TREC_short 
103 0 AP890816-0187   53 0.06455 TREC_short 
104 0 AP890607-0014   54 0.06197 TREC_short 
105 0 AP891130-0010   55 0.06197 TREC_short 
106 0 AP891208-0192   56 0.06197 TREC_short 
107 0 AP890503-0044   57 0.06197 TREC_short 
108 0 AP890523-0040   58 0.05738 TREC_short 
109 0 AP891020-0203   59 0.05738 TREC_short 
110 0 AP891018-0174   60 0.05623 TREC_short 
111 0 AP891103-0204   61 0.05623 TREC_short 
112 0 AP890314-0278   62 0.05623 TREC_short 
113 0 AP891207-0121   63 0.05623 TREC_short 
114 0 AP890407-0285   64 0.05623 TREC_short 
115 0 AP890108-0068   65 0.05623 TREC_short 
116 0 AP890515-0080   66 0.05623 TREC_short 
117 0 AP891017-0271   67 0.05508 TREC_short 
118 0 AP890315-0137   68 0.05508 TREC_short 
119 0 AP890121-0095   69 0.05508 TREC_short 
120 0 AP890322-0207   70 0.05508 TREC_short 
121 0 AP891220-0125   71 0.05508 TREC_short 
122 0 AP890813-0052   72 0.05508 TREC_short 
123 0 AP890502-0093   73 0.05508 TREC_short 
124 0 AP890929-0032   74 0.05508 TREC_short 
125 0 AP890929-0165   75 0.05508 TREC_short 
126 0 AP890612-0290   76 0.05467 TREC_short 
127 0 AP890618-0075   77 0.05356 TREC_short 
128 0 AP890622-0084   78 0.05356 TREC_short 
129 0 AP890222-0111   79 0.05356 TREC_short 
130 0 AP890418-0079   80 0.05356 TREC_short 
131 0 AP890821-0246   81 0.05356 TREC_short 
132 0 AP890928-0294   82 0.05356 TREC_short 
133 0 AP891019-0216   83 0.05164 TREC_short 
134 0 AP890412-0226   84 0.05164 TREC_short 
135 0 AP890801-0228   85 0.05164 TREC_short 
136 0 AP890908-0034   86 0.05164 TREC_short 
137 0 AP891007-0018   87 0.05164 TREC_short 
138 0 AP890612-0011   88 0.05021 TREC_short 
139 0 AP890628-0005   89 0.05021 TREC_short 
140 0 AP890411-0010   90 0.05021 TREC_short 
141 0 AP891002-0199   91 0.05021 TREC_short 
142 0 AP890606-0198   92 0.04761 TREC_short 
143 0 AP890708-0097   93 0.04761 TREC_short 
144 0 AP890410-0255   94 0.04761 TREC_short 
145 0 AP890412-0286   95 0.04761 TREC_short 
146 0 AP890427-0306   96 0.04761 TREC_short 
147 0 AP890906-0284   97 0.04761 TREC_short 
148 0 AP891003-0103   98 0.04590 TREC_short 
