51 0 AP890518-0275    1 0.54291 VSM_long 
51 0 AP890908-0222    2 0.47721 VSM_long 
51 0 AP891010-0258    3 0.44537 VSM_long 
51 0 AP890216-0288    4 0.38628 VSM_long 
51 0 AP890608-0253    5 0.38602 VSM_long 
51 0 AP890127-0117    6 0.38335 VSM_long 
51 0 AP891126-0082    7 0.37523 VSM_long 
51 0 AP891214-0204    8 0.37230 VSM_long 
51 0 AP890503-0279    9 0.35866 VSM_long 
51 0 AP890216-0167   10 0.33579 VSM_long 
51 0 AP890708-0097   11 0.33510 VSM_long 
51 0 AP890410-0255   12 0.31766 VSM_long 
51 0 AP890329-0221   13 0.31698 VSM_long 
51 0 AP891101-0286   14 0.31505 VSM_long 
51 0 AP890520-0011   15 0.30888 VSM_long 
51 0 AP890914-0250   16 0.30275 VSM_long 
51 0 AP890629-0275   17 0.29888 VSM_long 
51 0 AP890509-0269   18 0.29446 VSM_long 
51 0 AP890816-0062   19 0.28290 VSM_long 
51 0 AP890724-0259   20 0.27857 VSM_long 
51 0 AP890127-0155   21 0.27505 VSM_long 
51 0 AP890206-0237   22 0.27373 VSM_long 
51 0 AP890418-0312   23 0.27369 VSM_long 
51 0 AP890817-0225   24 0.27278 VSM_long 
51 0 AP890620-0248   25 0.27145 VSM_long 
51 0 AP890821-0246   26 0.26746 VSM_long 
51 0 AP890404-0263   27 0.26585 VSM_long 
51 0 AP891221-0274   28 0.26568 VSM_long 
51 0 AP890731-0272   29 0.25512 VSM_long 
51 0 AP890104-0259   30 0.25197 VSM_long 
51 0 AP890328-0202   31 0.24518 VSM_long 
51 0 AP890412-0286   32 0.24213 VSM_long 
51 0 AP890427-0221   33 0.24073 VSM_long 
51 0 AP890301-0076   34 0.23747 VSM_long 
51 0 AP890207-0230   35 0.23621 VSM_long 
51 0 AP890606-0198   36 0.23605 VSM_long 
51 0 AP890413-0262   37 0.22636 VSM_long 
51 0 AP890418-0290   38 0.21741 VSM_long 
51 0 AP890705-0196   39 0.21607 VSM_long 
51 0 AP891117-0213   40 0.21598 VSM_long 
51 0 AP890928-0294   41 0.21537 VSM_long 
51 0 AP891011-0255   42 0.21475 VSM_long 
51 0 AP890612-0290   43 0.21113 VSM_long 
51 0 AP890310-0316   44 0.20972 VSM_long 
51 0 AP890106-0255   45 0.20560 VSM_long 
51 0 AP890217-0158   46 0.20470 VSM_long 
51 0 AP890418-0313   47 0.20353 VSM_long 
51 0 AP890419-0228   48 0.20353 VSM_long 
51 0 AP890906-0284   49 0.20167 VSM_long 
51 0 AP890627-0100   50 0.19989 VSM_long 
51 0 AP890702-0030   51 0.19936 VSM_long 
51 0 AP890228-0177   52 0.19906 VSM_long 
51 0 AP890426-0260   53 0.19863 VSM_long 
51 0 AP890413-0243   54 0.19805 VSM_long 
51 0 AP890207-0240   55 0.19531 VSM_long 
51 0 AP890207-0251   56 0.19340 VSM_long 
51 0 AP890105-0233   57 0.19266 VSM_long 
51 0 AP890329-0213   58 0.19169 VSM_long 
51 0 AP890222-0111   59 0.19080 VSM_long 
51 0 AP890208-0268   60 0.18995 VSM_long 
51 0 AP890223-0299   61 0.18800 VSM_long 
51 0 AP890817-0223   62 0.18693 VSM_long 
51 0 AP891017-0091   63 0.18636 VSM_long 
51 0 AP890816-0147   64 0.18343 VSM_long 
51 0 AP890803-0196   65 0.18324 VSM_long 
51 0 AP890913-0264   66 0.17782 VSM_long 
51 0 AP890602-0272   67 0.17752 VSM_long 
51 0 AP890228-0162   68 0.17586 VSM_long 
51 0 AP890419-0224   69 0.17470 VSM_long 
51 0 AP890707-0209   70 0.17279 VSM_long 
51 0 AP890511-0222   71 0.17195 VSM_long 
51 0 AP891118-0182   72 0.17152 VSM_long 
51 0 AP891123-0040   73 0.17061 VSM_long 
51 0 AP890519-0076   74 0.17022 VSM_long 
51 0 AP890703-0134   75 0.17018 VSM_long 
51 0 AP891117-0207   76 0.17008 VSM_long 
51 0 AP891117-0214   77 0.16918 VSM_long 
51 0 AP891006-0222   78 0.16825 VSM_long 
51 0 AP890314-0278   79 0.16764 VSM_long 
51 0 AP891101-0042   80 0.16709 VSM_long 
51 0 AP890419-0227   81 0.16691 VSM_long 
51 0 AP890722-0154   82 0.16638 VSM_long 
51 0 AP891127-0256   83 0.16636 VSM_long 
51 0 AP891011-0275   84 0.16515 VSM_long 
51 0 AP890227-0288   85 0.16302 VSM_long 
51 0 AP890110-0304   86 0.16265 VSM_long 
51 0 AP890407-0285   87 0.16075 VSM_long 
51 0 AP890411-0191   88 0.15948 VSM_long 
51 0 AP890518-0034   89 0.15821 VSM_long 
51 0 AP890224-0116   90 0.15779 VSM_long 
51 0 AP891211-0325   91 0.15770 VSM_long 
51 0 AP890818-0180   92 0.15764 VSM_long 
51 0 AP891013-0165   93 0.15676 VSM_long 
51 0 AP890310-0265   94 0.15440 VSM_long 
51 0 AP890107-0160   95 0.15414 VSM_long 
51 0 AP890428-0002   96 0.15388 VSM_long 
51 0 AP890427-0258   97 0.15380 VSM_long 
51 0 AP890117-0252   98 0.15132 VSM_long 
51 0 AP891219-0192   99 0.14917 VSM_long 
51 0 AP890719-0300  100 0.14802 VSM_long 
51 0 AP890330-0021  101 0.14719 VSM_long 
51 0 AP890714-0212  102 0.14605 VSM_long 
51 0 AP890526-0222  103 0.14583 VSM_long 
51 0 AP890618-0075  104 0.14494 VSM_long 
51 0 AP890712-0032  105 0.14385 VSM_long 
51 0 AP890901-0154  106 0.14107 VSM_long 
51 0 AP890906-0311  107 0.14084 VSM_long 
51 0 AP890425-0029  108 0.14023 VSM_long 
51 0 AP890504-0256  109 0.13928 VSM_long 
51 0 AP890209-0234  110 0.13866 VSM_long 
51 0 AP890810-0244  111 0.13831 VSM_long 
51 0 AP890322-0331  112 0.13799 VSM_long 
51 0 AP890527-0075  113 0.13777 VSM_long 
51 0 AP891126-0084  114 0.13529 VSM_long 
51 0 AP890207-0277  115 0.13368 VSM_long 
51 0 AP890617-0089  116 0.13356 VSM_long 
51 0 AP890304-0016  117 0.13290 VSM_long 
51 0 AP890512-0081  118 0.13230 VSM_long 
51 0 AP890608-0032  119 0.13214 VSM_long 
51 0 AP891030-0205  120 0.13159 VSM_long 
51 0 AP890720-0240  121 0.13116 VSM_long 
51 0 AP890816-0246  122 0.13040 VSM_long 
51 0 AP890715-0047  123 0.13009 VSM_long 
