51 0 AP890908-0222    1 0.95151 VSM_short 
51 0 AP890503-0279    2 0.57883 VSM_short 
51 0 AP891126-0082    3 0.57883 VSM_short 
51 0 AP890705-0196    4 0.57093 VSM_short 
51 0 AP890908-0122    5 0.51772 VSM_short 
51 0 AP891010-0258    6 0.51772 VSM_short 
51 0 AP890127-0117    7 0.49731 VSM_short 
51 0 AP890518-0275    8 0.49561 VSM_short 
51 0 AP890216-0288    9 0.48235 VSM_short 
51 0 AP890608-0253   10 0.48235 VSM_short 
51 0 AP890629-0275   11 0.48235 VSM_short 
51 0 AP890913-0264   12 0.48235 VSM_short 
51 0 AP890817-0225   13 0.42710 VSM_short 
51 0 AP890127-0155   14 0.42627 VSM_short 
51 0 AP890520-0011   15 0.42627 VSM_short 
51 0 AP890216-0167   16 0.42271 VSM_short 
51 0 AP891117-0213   17 0.38829 VSM_short 
51 0 AP890328-0202   18 0.38588 VSM_short 
51 0 AP890209-0234   19 0.37363 VSM_short 
51 0 AP890404-0263   20 0.37363 VSM_short 
51 0 AP891214-0204   21 0.36988 VSM_short 
51 0 AP890620-0248   22 0.36608 VSM_short 
51 0 AP890630-0056   23 0.36608 VSM_short 
51 0 AP890731-0272   24 0.36608 VSM_short 
51 0 AP891011-0255   25 0.36608 VSM_short 
51 0 AP890724-0259   26 0.34514 VSM_short 
51 0 AP890104-0259   27 0.34108 VSM_short 
51 0 AP891127-0256   28 0.33765 VSM_short 
51 0 AP891215-0260   29 0.31567 VSM_short 
51 0 AP890106-0255   30 0.30507 VSM_short 
51 0 AP890329-0221   31 0.30507 VSM_short 
51 0 AP890816-0062   32 0.30507 VSM_short 
51 0 AP891003-0130   33 0.30507 VSM_short 
51 0 AP890418-0313   34 0.30200 VSM_short 
51 0 AP890419-0228   35 0.30200 VSM_short 
51 0 AP890426-0260   36 0.30200 VSM_short 
51 0 AP890601-0339   37 0.30200 VSM_short 
51 0 AP890817-0223   38 0.30200 VSM_short 
51 0 AP890920-0246   39 0.30200 VSM_short 
51 0 AP891211-0325   40 0.30200 VSM_short 
51 0 AP891126-0084   41 0.29890 VSM_short 
51 0 AP891221-0274   42 0.29890 VSM_short 
51 0 AP891117-0214   43 0.28941 VSM_short 
51 0 AP890526-0222   44 0.28418 VSM_short 
51 0 AP890721-0245   45 0.27338 VSM_short 
51 0 AP890612-0290   46 0.26154 VSM_short 
51 0 AP890222-0111   47 0.25886 VSM_short 
51 0 AP890418-0079   48 0.25886 VSM_short 
51 0 AP890618-0075   49 0.25886 VSM_short 
51 0 AP890622-0084   50 0.25886 VSM_short 
51 0 AP890821-0246   51 0.25886 VSM_short 
51 0 AP890928-0294   52 0.25886 VSM_short 
51 0 AP890506-0013   53 0.25837 VSM_short 
51 0 AP891219-0249   54 0.24956 VSM_short 
51 0 AP890410-0255   55 0.24405 VSM_short 
51 0 AP890412-0286   56 0.24405 VSM_short 
51 0 AP890427-0306   57 0.24405 VSM_short 
51 0 AP890606-0198   58 0.24405 VSM_short 
51 0 AP890708-0097   59 0.24405 VSM_short 
51 0 AP890906-0284   60 0.24405 VSM_short 
51 0 AP890712-0120   61 0.24164 VSM_short 
51 0 AP890108-0032   62 0.23675 VSM_short 
51 0 AP890310-0316   63 0.23675 VSM_short 
51 0 AP890729-0071   64 0.23675 VSM_short 
51 0 AP890901-0154   65 0.22418 VSM_short 
51 0 AP890516-0165   66 0.22321 VSM_short 
51 0 AP890523-0235   67 0.22321 VSM_short 
51 0 AP891221-0216   68 0.22321 VSM_short 
51 0 AP890410-0121   69 0.22146 VSM_short 
51 0 AP891011-0163   70 0.22146 VSM_short 
51 0 AP890428-0090   71 0.21837 VSM_short 
51 0 AP890707-0209   72 0.21837 VSM_short 
51 0 AP890117-0018   73 0.21572 VSM_short 
51 0 AP890125-0094   74 0.21572 VSM_short 
51 0 AP890206-0170   75 0.21572 VSM_short 
51 0 AP890223-0299   76 0.21572 VSM_short 
51 0 AP890310-0265   77 0.21572 VSM_short 
51 0 AP890327-0161   78 0.21572 VSM_short 
51 0 AP890418-0241   79 0.21572 VSM_short 
51 0 AP890701-0050   80 0.21572 VSM_short 
51 0 AP890723-0009   81 0.21572 VSM_short 
51 0 AP890911-0278   82 0.21572 VSM_short 
51 0 AP891120-0065   83 0.21572 VSM_short 
51 0 AP890519-0076   84 0.21355 VSM_short 
51 0 AP890702-0030   85 0.21355 VSM_short 
51 0 AP890914-0250   86 0.21355 VSM_short 
51 0 AP890207-0230   87 0.21136 VSM_short 
51 0 AP890816-0187   88 0.20926 VSM_short 
51 0 AP890503-0044   89 0.20503 VSM_short 
51 0 AP890607-0014   90 0.20503 VSM_short 
51 0 AP891130-0010   91 0.20503 VSM_short 
51 0 AP891208-0192   92 0.20503 VSM_short 
51 0 AP890523-0040   93 0.19729 VSM_short 
51 0 AP891020-0203   94 0.19729 VSM_short 
51 0 AP890108-0068   95 0.19531 VSM_short 
51 0 AP890314-0278   96 0.19531 VSM_short 
51 0 AP890407-0285   97 0.19531 VSM_short 
51 0 AP890515-0080   98 0.19531 VSM_short 
51 0 AP891018-0174   99 0.19531 VSM_short 
51 0 AP891103-0204  100 0.19531 VSM_short 
51 0 AP891207-0121  101 0.19531 VSM_short 
51 0 AP890121-0095  102 0.19331 VSM_short 
51 0 AP890315-0137  103 0.19331 VSM_short 
51 0 AP890322-0207  104 0.19331 VSM_short 
51 0 AP890502-0093  105 0.19331 VSM_short 
51 0 AP890813-0052  106 0.19331 VSM_short 
51 0 AP890929-0032  107 0.19331 VSM_short 
51 0 AP890929-0165  108 0.19331 VSM_short 
51 0 AP891017-0271  109 0.19331 VSM_short 
51 0 AP891220-0125  110 0.19331 VSM_short 
51 0 AP890412-0226  111 0.18717 VSM_short 
51 0 AP890801-0228  112 0.18717 VSM_short 
51 0 AP890908-0034  113 0.18717 VSM_short 
51 0 AP891007-0018  114 0.18717 VSM_short 
51 0 AP891019-0216  115 0.18717 VSM_short 
51 0 AP890418-0312  116 0.18682 VSM_short 
51 0 AP891101-0286  117 0.18682 VSM_short 
51 0 AP890411-0010  118 0.18455 VSM_short 
51 0 AP890612-0011  119 0.18455 VSM_short 
51 0 AP890628-0005  120 0.18455 VSM_short 
51 0 AP891002-0199  121 0.18455 VSM_short 
51 0 AP890105-0233  122 0.18304 VSM_short 
51 0 AP890110-0304  123 0.18304 VSM_short 
51 0 AP890413-0262  124 0.18304 VSM_short 
51 0 AP890418-0290  125 0.18304 VSM_short 
51 0 AP890703-0072  126 0.18304 VSM_short 
51 0 AP890703-0134  127 0.18304 VSM_short 
51 0 AP890823-0099  128 0.18304 VSM_short 
51 0 AP891003-0103  129 0.17647 VSM_short 
51 0 AP890128-0159  130 0.17257 VSM_short 
51 0 AP890206-0237  131 0.17257 VSM_short 
51 0 AP890207-0277  132 0.17257 VSM_short 
51 0 AP890208-0268  133 0.17257 VSM_short 
51 0 AP890209-0229  134 0.17257 VSM_short 
51 0 AP890223-0276  135 0.17257 VSM_short 
51 0 AP890224-0066  136 0.17257 VSM_short 
51 0 AP890306-0244  137 0.17257 VSM_short 
51 0 AP890323-0197  138 0.17257 VSM_short 
51 0 AP890406-0263  139 0.17257 VSM_short 
51 0 AP890428-0002  140 0.17257 VSM_short 
51 0 AP890504-0256  141 0.17257 VSM_short 
51 0 AP890516-0077  142 0.17257 VSM_short 
51 0 AP890609-0270  143 0.17257 VSM_short 
51 0 AP890613-0247  144 0.17257 VSM_short 
51 0 AP890614-0287  145 0.17257 VSM_short 
51 0 AP890707-0114  146 0.17257 VSM_short 
51 0 AP890714-0212  147 0.17257 VSM_short 
51 0 AP890723-0061  148 0.17257 VSM_short 
51 0 AP890724-0045  149 0.17257 VSM_short 
51 0 AP890906-0311  150 0.17257 VSM_short 
51 0 AP891209-0045  151 0.17257 VSM_short 
51 0 AP890918-0116  152 0.17086 VSM_short 
51 0 AP891024-0145  153 0.17086 VSM_short 
51 0 AP891128-0218  154 0.17086 VSM_short 
51 0 AP891129-0025  155 0.17086 VSM_short 
51 0 AP891218-0055  156 0.17086 VSM_short 
51 0 AP890119-0027  157 0.16915 VSM_short 
51 0 AP890317-0131  158 0.16915 VSM_short 
51 0 AP890419-0189  159 0.16915 VSM_short 
51 0 AP890914-0069  160 0.16915 VSM_short 
51 0 AP891030-0178  161 0.16915 VSM_short 
51 0 AP891219-0192  162 0.16915 VSM_short 
51 0 AP890108-0094  163 0.16741 VSM_short 
51 0 AP890109-0144  164 0.16741 VSM_short 
51 0 AP890110-0016  165 0.16741 VSM_short 
51 0 AP890115-0012  166 0.16741 VSM_short 
51 0 AP890210-0202  167 0.16741 VSM_short 
51 0 AP890330-0021  168 0.16741 VSM_short 
51 0 AP890427-0221  169 0.16741 VSM_short 
51 0 AP890506-0006  170 0.16741 VSM_short 
51 0 AP890522-0084  171 0.16741 VSM_short 
51 0 AP890605-0084  172 0.16741 VSM_short 
51 0 AP890606-0044  173 0.16741 VSM_short 
51 0 AP890907-0159  174 0.16741 VSM_short 
51 0 AP891002-0261  175 0.16741 VSM_short 
51 0 AP891003-0060  176 0.16741 VSM_short 
51 0 AP891006-0104  177 0.16741 VSM_short 
51 0 AP891018-0037  178 0.16741 VSM_short 
51 0 AP891030-0194  179 0.16741 VSM_short 
51 0 AP891110-0023  180 0.16741 VSM_short 
51 0 AP890103-0010  181 0.15784 VSM_short 
51 0 AP890104-0279  182 0.15784 VSM_short 
51 0 AP890110-0165  183 0.15784 VSM_short 
51 0 AP890122-0100  184 0.15784 VSM_short 
51 0 AP890204-0175  185 0.15784 VSM_short 
51 0 AP890223-0164  186 0.15784 VSM_short 
51 0 AP890223-0281  187 0.15784 VSM_short 
51 0 AP890227-0132  188 0.15784 VSM_short 
51 0 AP890301-0211  189 0.15784 VSM_short 
51 0 AP890302-0175  190 0.15784 VSM_short 
51 0 AP890313-0233  191 0.15784 VSM_short 
51 0 AP890405-0282  192 0.15784 VSM_short 
51 0 AP890408-0097  193 0.15784 VSM_short 
51 0 AP890504-0182  194 0.15784 VSM_short 
51 0 AP890607-0108  195 0.15784 VSM_short 
51 0 AP890627-0148  196 0.15784 VSM_short 
51 0 AP890812-0133  197 0.15784 VSM_short 
51 0 AP891026-0232  198 0.15784 VSM_short 
51 0 AP891117-0018  199 0.15784 VSM_short 
51 0 AP891215-0125  200 0.15784 VSM_short 
51 0 AP891219-0108  201 0.15784 VSM_short 
51 0 AP890811-0028  202 0.15598 VSM_short 
51 0 AP891027-0233  203 0.15598 VSM_short 
51 0 AP890217-0158  204 0.15253 VSM_short 
51 0 AP890419-0227  205 0.15253 VSM_short 
51 0 AP890517-0089  206 0.15253 VSM_short 
51 0 AP890929-0096  207 0.15253 VSM_short 
51 0 AP891006-0222  208 0.15253 VSM_short 
51 0 AP890131-0301  209 0.15100 VSM_short 
51 0 AP890227-0288  210 0.15100 VSM_short 
51 0 AP890228-0177  211 0.15100 VSM_short 
51 0 AP890301-0076  212 0.15100 VSM_short 
51 0 AP890306-0264  213 0.15100 VSM_short 
51 0 AP890406-0027  214 0.15100 VSM_short 
51 0 AP890426-0268  215 0.15100 VSM_short 
51 0 AP890509-0269  216 0.15100 VSM_short 
51 0 AP890511-0035  217 0.15100 VSM_short 
51 0 AP890608-0032  218 0.15100 VSM_short 
51 0 AP890619-0204  219 0.15100 VSM_short 
51 0 AP890719-0300  220 0.15100 VSM_short 
51 0 AP890816-0246  221 0.15100 VSM_short 
51 0 AP891002-0334  222 0.15100 VSM_short 
51 0 AP891017-0091  223 0.15100 VSM_short 
51 0 AP891103-0231  224 0.15100 VSM_short 
51 0 AP891128-0199  225 0.15100 VSM_short 
51 0 AP890130-0021  226 0.14498 VSM_short 
51 0 AP890329-0113  227 0.14498 VSM_short 
51 0 AP890404-0239  228 0.14498 VSM_short 
51 0 AP890428-0054  229 0.14498 VSM_short 
51 0 AP890428-0191  230 0.14498 VSM_short 
51 0 AP890608-0149  231 0.14498 VSM_short 
51 0 AP890614-0249  232 0.14498 VSM_short 
